Field=Designator~String~Designator~138|Field=Comment~String~Comment~137|Field=Footprint~String~Footprint~137|Field=LibRef~String~LibRef~97|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~DDS_RIKEN_2014.PrjPcb|ReportField=ProjectFullPath~C:\Users\thanedp\Desktop\HONG_DDS_2014_10_15\DDS_RIKEN_2014.PrjPcb|ReportField=Title~Bill of Materials For Project [DDS_RIKEN_2014.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~166|ReportField=ReportTime~2:10:11 PM|ReportField=ReportDate~12/26/2014|ReportField=ReportDateTime~12/26/2014 2:10:11 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~12/26/2014|ReportField=CurrentTime~2:06:43 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\thanedp\Desktop\HONG_DDS_2014_10_15\DDS_RIKEN_main.SchDoc|ReportField=DocumentName~DDS_RIKEN_main.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~11/10/2014|ReportField=Organization~|ReportField=ProjectName~DDS_RIKEN_2014.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~DDS_RIKEN_2014.PrjPcb|ReportField=DataSourceFullPath~C:\Users\thanedp\Desktop\HONG_DDS_2014_10_15\DDS_RIKEN_2014.PrjPcb
R12||RESC3216L|Res3|75
R13||RESC3216L|Res3|2k4
R14||RESC3216L|Res3|10k
R15||RESC3216L|Res3|75
R16||RESC3216L|Res3|10k
R17||RESC3216L|Res3|10k
R18||RESC3216L|Res3|10k
R19||RESC3216L|Res3|10k
R20||RESC3216L|Res3|50
R21||RESC3216L|Res3|50
R22||RESC3216L|Res3|50
T1|TC1-1TX+|TC1-1T+|Trans CT|
T2|TC1-1TX+|TC1-1T+|Trans CT|
T3|TC1-1TX+|TC1-1T+|Trans CT|
U1|EP4CE22F17C8|FBGA256|EP4CE22F17C8|
U2|EPCS16SI8N|SOIC8_L|EPCS4SI8N|
U3|AD9915BCPZ|CP_88_5|AD9915BCPZ|Value
U4|MAX3094|TSSOP16|MAX3094|
U5|MAX3094|TSSOP16|MAX3094|
U6|MAX3094|TSSOP16|MAX3094|
U7|MAX3030|TSSOP16|MAX3030|
U8|MAX3094|TSSOP16|MAX3094|
U9|MAX3094|TSSOP16|MAX3094|
U10|MAX3094|TSSOP16|MAX3094|
U11|MAX3030|TSSOP16|MAX3030|
U12|MAX3094|TSSOP16|MAX3094|
U13|LM1086IS-5.0|TS3B_N|LM1086IS-5.0|
U14|LM1086IS-3.3|TS3B_N|LM1086IS-3.3|
U15|LM1086IS-1.8|TS3B_N|LM1086IS-1.8|
U16|LM1086CS-2.5|TS3B_N|LM1086IS-3.3|
U17|LM1086IS-3.3|TS3B_N|LM1086IS-3.3|
U18|LP2983AIM5-1.2|MF05A_N|LP2983AIM5-1.2|
U19|LM1086IS-1.8|TS3B_N|LM1086IS-1.8|
U20|MAX3094|TSSOP16|MAX3094|
U21|AD9744|TSOP65P640-28AM|AD9744|
U22|ADL5330|QFN50P400X400-24VAN|ADL5330|
U23|TLC5917|D016_N|TLC5917|
U24|IC_FT245RL|DB028|IC_FT245RL|
U25|CSX750F_25|CSX750F|CSX750F|
U26|SALF-325|SALF-325|SALF-325|
U27|SALF-325|SALF-325|SALF-325|
U28|LAT-5+|LAT-10+|LAT-30+|
